Vrstni_red,Naslov,Pisatelj,Leto_izdaje,Ocena
73,Ivanhoe,Walter Scott,1819,3.73
74,The Prince and the Pauper,Mark Twain,1881,3.83
75,Journey to the Center of the Earth,Jules Verne,1864,3.83
76,Dead Souls,Nikolai Gogol,1842,3.98
77,The Yellow Wallpaper and Other Stories,Charlotte Perkins Gilman,1892,4.00
78,A Connecticut Yankee in King Arthur's Court,Mark Twain,1889,3.73
79,Wives and Daughters,Elizabeth Gaskell,1865,4.06
80,The Turn of the Screw,Henry James,1898,3.45
81,The Portrait of a Lady,Henry James,1881,3.75
82,The Strange Case of Dr Jekyll and Mr Hyde & Weir of Hermiston,Robert Louis Stevenson,1886,3.73
83,The Mayor of Casterbridge,Thomas Hardy,1886,3.78
84,Père Goriot,Honoré de Balzac,1835,3.81
85,Three Men in a Boat,Jerome K. Jerome,1889,3.91
86,Fathers and Sons,Ivan Turgenev,1862,3.93
87,Little Dorrit,Charles Dickens,1857,3.95
88,The Island of Dr. Moreau,H.G. Wells,1896,3.71
89,Our Mutual Friend,Charles Dickens,1865,4.07
90,David Copperfield,Charles Dickens,1849,3.95
91,Pinocchio,Carlo Collodi,1883,3.84
92,The Mill on the Floss,George Eliot,1860,3.76
93,Eugene Onegin,Alexander Pushkin,1833,4.06
94,The Little Mermaid,Hans Christian Andersen,1836,4.01
95,Heart of Darkness,Joseph Conrad,1899,3.40
96,The Invisible Man,H.G. Wells,1897,3.61
97,Agnes Grey,Anne Brontë,1847,3.63
98,Cranford,Elizabeth Gaskell,1851,3.84
99,The Return of the Native,Thomas Hardy,1878,3.83
100,Germinal,Émile Zola,1885,4.07
1,To Kill a Mockingbird,Harper Lee,1960,4.24
2,1984,George Orwell,1949,4.12
3,The Lord of the Rings,J.R.R. Tolkien,1955,4.46
4,The Great Gatsby,F. Scott Fitzgerald,1925,3.87
5,Harry Potter and the Sorcerer's Stone,J.K. Rowling,1997,4.42
6,Animal Farm,George Orwell,1945,3.84
7,The Diary of a Young Girl,Anne Frank,1947,4.08
8,The Hobbit,J.R.R. Tolkien,1937,4.23
9,The Little Prince,Antoine de Saint-Exupéry,1943,4.26
10,The Catcher in the Rye,J.D. Salinger,1951,3.78
11,Fahrenheit 451,Ray Bradbury,1953,3.96
12,The Grapes of Wrath,John Steinbeck,1939,3.90
13,"The Lion, the Witch, and the Wardrobe",C.S. Lewis,1950,4.17
14,One Hundred Years of Solitude,Gabriel Garcí­a Márquez,1967,4.02
15,Brave New World,Aldous Huxley,1932,3.95
16,The Catcher in the Rye,J.D. Salinger,1951,3.78
17,Gone with the Wind,Margaret Mitchell,1936,4.27
18,Of Mice and Men,John Steinbeck,1937,3.82
19,Il signore delle mosche,William Golding,1954,3.62
20,The Giver,Lois Lowry,1993,4.12
21,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,1999,4.50
22,Slaughterhouse-Five,Kurt Vonnegut,1969,4.04
23,Lolita,Vladimir Nabokov,1955,3.87
24,East of Eden,John Steinbeck,1952,4.33
25,One Flew Over the Cuckoo's Nest,Ken Kesey,1962,4.18
26,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,1996,4.36
27,Memoirs of a Geisha,Arthur Golden,1997,4.06
28,The Stranger,Albert Camus,1942,3.94
29,The Handmaid's Tale,Margaret Atwood,1985,4.00
30,Charlotte's Web,E.B. White,1952,4.13
31,The Fellowship of the Ring,J.R.R. Tolkien,1954,4.32
